"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"238","Sweden",26,"129",41,"67",40,"18",91,10099.265,10036.379,1.0063,450295,22.2885,25,"37,113","637","4,395","45","4,971","27,747","190","3,677","435","238,800","23,658","10,093,745",132,15
"239","Switzerland",42,"58",40,"68",27,"34",100,8654.622,8591.365,1.0074,41284,208.104,29,"30,845","17","1,919","","28,400","526","27","3,566","222","394,717","45,637","8,649,038",163,6.6
"244","Tajikistan",80,"13",140,"2.1",139,"0.7",96,9537.645,9321.018,1.0232,143100,65.1364,73,"3,807","121","47","","1,865","1,895","","400","5","","","9,516,984",54,31.5
"247","Thailand",22,"158",26,"123",17,"83",20,69799.978,69625.582,1.0025,513120,135.6906,78,"3,077","1","57","","2,961","59","59","44","0.8","375,453","5,380","69,784,967",161,7.2
"249","Togo",151,"1",123,"3.4",110,"1.6",102,8278.724,8082.366,1.0243,56785,142.3328,141,"428","","13","","202","213","","52","2","19,162","2,320","8,259,905",17,55.1
"253","Trinidad and Tobago",96,"8.7",88,"12",73,"5.8",153,1399.488,1394.973,1.0032,5130,271.9246,170,"116","","8","","108","0","","83","6","3,122","2,231","1,399,098",106,20
"254","Tunisia",82,"13",87,"12",71,"6.2",78,11818.619,11694.719,1.0106,163610,71.4792,110,"1,076","5","48","","950","78","2","91","4","51,171","4,334","11,807,501",127,15.5
"255","Turkey",20,"195",48,"41",30,"30",18,84339.067,83429.615,1.0109,783562,106.4748,10,"162,120","","4,489","","125,963","31,668","662","1,924","53","1,964,364","23,314","84,257,335",98,21.9
"260","Uganda",125,"3.6",108,"6.4",109,"1.7",32,45741.007,44269.594,1.0332,241550,183.273,147,"329","","","","72","257","","7","","94,990","2,083","45,594,205",103,21.4
"261","Ukraine",23,"151",37,"76",72,"6.2",33,43733.762,43993.638,0.9941,603500,72.8975,36,"23,204","393","696","17","9,311","13,197","273","530","16","348,279","7,960","43,755,130",168,3.8
"262","United Arab Emirates",32,"97",29,"112",15,"108",92,9890.402,9770.529,1.0123,83600,116.8724,27,"33,170","","260","","17,097","15,813","1","3,357","26","2,110,493","213,622","9,879,555",110,19.5
"263","United Kingdom",11,"319",14,"320",4,"242",21,67886.011,67530.172,1.0053,242900,278.0164,5,"272,826","1,604","38,376","215","N/A","N/A","1,559","4,021","566","4,043,686","59,593","67,854,937",133,15
"264","United States",2,"3,868.00",1,"8,682.00",1,"1,398.00",3,331002.651,329064.917,1.0059,9372610,35.1092,1,"1,802,180","8,650","104,786","244","520,928","1,176,466","17,203","5,447","317","16,908,725","51,110","330,832,890",128,15.1
"266","Uruguay",90,"9.8",92,"11",104,"2",134,3473.73,3461.734,1.0035,181034,19.122,122,"816","","22","","680","114","6","235","6","42,624","12,274","3,472,692",150,9.7
"267","Uzbekistan",48,"47",63,"28",95,"2.8",42,33469.203,32981.716,1.0148,447400,73.7186,76,"3,523","55","14","","2,783","726","7","105","0.4","460,000","13,762","33,424,544",140,14
"270","Venezuela",33,"95",15,"271",103,"2",50,28435.94,28515.829,0.9972,916445,31.1157,103,"1,370","","14","","302","1,054","3","48","0.5","961,899","33,819","28,442,623",109,19.7
"280","Yemen",111,"5.8",55,"33",128,"0.9",48,29825.964,29161.922,1.0228,527968,55.2343,150,"283","","65","","11","207","","10","2","120","4","29,762,769",21,54
"281","Zambia",88,"11",113,"5.4",124,"1",65,18383.955,17861.03,1.0293,752612,23.7321,113,"1,057","","7","","779","271","1","58","0.4","24,275","1,324","18,332,690",19,54.4
"282","Zimbabwe",101,"7.6",119,"4.1",163,"0.2",74,14862.924,14645.468,1.0148,390757,37.4797,162,"160","11","4","","29","127","","11","0.3","46,613","3,140","14,842,996",2,72.3
